"DATE","TIME PERIOD","Petroleum, petroleum products and related materials - Extra EA trade, Volume index, Import (TRD.M.I9.Y.M.OIL.J9.4.VOX)"
"2002-01-31","2002Jan","39.64"
"2002-02-28","2002Feb","38.10"
"2002-03-31","2002Mar","36.55"
"2002-04-30","2002Apr","37.33"
"2002-05-31","2002May","37.78"
"2002-06-30","2002Jun","38.87"
"2002-07-31","2002Jul","38.65"
"2002-08-31","2002Aug","36.91"
"2002-09-30","2002Sep","37.24"
"2002-10-31","2002Oct","39.58"
"2002-11-30","2002Nov","39.15"
"2002-12-31","2002Dec","41.24"
"2003-01-31","2003Jan","39.55"
"2003-02-28","2003Feb","39.34"
"2003-03-31","2003Mar","39.62"
"2003-04-30","2003Apr","44.72"
"2003-05-31","2003May","41.11"
"2003-06-30","2003Jun","42.00"
"2003-07-31","2003Jul","42.45"
"2003-08-31","2003Aug","41.75"
"2003-09-30","2003Sep","42.99"
"2003-10-31","2003Oct","41.54"
"2003-11-30","2003Nov","44.36"
"2003-12-31","2003Dec","45.89"
"2004-01-31","2004Jan","41.22"
"2004-02-29","2004Feb","44.06"
"2004-03-31","2004Mar","45.78"
"2004-04-30","2004Apr","41.71"
"2004-05-31","2004May","42.25"
"2004-06-30","2004Jun","46.43"
"2004-07-31","2004Jul","45.88"
"2004-08-31","2004Aug","44.86"
"2004-09-30","2004Sep","48.24"
"2004-10-31","2004Oct","44.17"
"2004-11-30","2004Nov","44.52"
"2004-12-31","2004Dec","45.40"
"2005-01-31","2005Jan","48.06"
"2005-02-28","2005Feb","46.02"
"2005-03-31","2005Mar","50.05"
"2005-04-30","2005Apr","47.81"
"2005-05-31","2005May","47.63"
"2005-06-30","2005Jun","48.01"
"2005-07-31","2005Jul","46.49"
"2005-08-31","2005Aug","46.66"
"2005-09-30","2005Sep","48.75"
"2005-10-31","2005Oct","48.08"
"2005-11-30","2005Nov","51.38"
"2005-12-31","2005Dec","48.90"
"2006-01-31","2006Jan","47.99"
"2006-02-28","2006Feb","49.45"
"2006-03-31","2006Mar","51.33"
"2006-04-30","2006Apr","47.28"
"2006-05-31","2006May","48.80"
"2006-06-30","2006Jun","50.25"
"2006-07-31","2006Jul","47.99"
"2006-08-31","2006Aug","50.21"
"2006-09-30","2006Sep","50.75"
"2006-10-31","2006Oct","51.12"
"2006-11-30","2006Nov","51.61"
"2006-12-31","2006Dec","49.93"
"2007-01-31","2007Jan","49.84"
"2007-02-28","2007Feb","53.19"
"2007-03-31","2007Mar","48.04"
"2007-04-30","2007Apr","51.41"
"2007-05-31","2007May","51.90"
"2007-06-30","2007Jun","49.31"
"2007-07-31","2007Jul","50.72"
"2007-08-31","2007Aug","49.05"
"2007-09-30","2007Sep","50.57"
"2007-10-31","2007Oct","49.45"
"2007-11-30","2007Nov","50.69"
"2007-12-31","2007Dec","53.81"
"2008-01-31","2008Jan","54.66"
"2008-02-29","2008Feb","52.40"
"2008-03-31","2008Mar","52.70"
"2008-04-30","2008Apr","52.48"
"2008-05-31","2008May","50.71"
"2008-06-30","2008Jun","52.07"
"2008-07-31","2008Jul","52.40"
"2008-08-31","2008Aug","53.07"
"2008-09-30","2008Sep","53.22"
"2008-10-31","2008Oct","54.15"
"2008-11-30","2008Nov","54.37"
"2008-12-31","2008Dec","56.16"
"2009-01-31","2009Jan","52.99"
"2009-02-28","2009Feb","53.82"
"2009-03-31","2009Mar","54.67"
"2009-04-30","2009Apr","53.85"
"2009-05-31","2009May","54.03"
"2009-06-30","2009Jun","49.79"
"2009-07-31","2009Jul","50.08"
"2009-08-31","2009Aug","50.33"
"2009-09-30","2009Sep","52.82"
"2009-10-31","2009Oct","52.41"
"2009-11-30","2009Nov","53.34"
"2009-12-31","2009Dec","51.59"
"2010-01-31","2010Jan","51.07"
"2010-02-28","2010Feb","50.60"
"2010-03-31","2010Mar","56.27"
"2010-04-30","2010Apr","52.23"
"2010-05-31","2010May","55.72"
"2010-06-30","2010Jun","54.65"
"2010-07-31","2010Jul","55.50"
"2010-08-31","2010Aug","56.43"
"2010-09-30","2010Sep","54.24"
"2010-10-31","2010Oct","54.34"
"2010-11-30","2010Nov","58.91"
"2010-12-31","2010Dec","54.82"
"2011-01-31","2011Jan","55.98"
"2011-02-28","2011Feb","55.38"
"2011-03-31","2011Mar","55.03"
"2011-04-30","2011Apr","57.79"
"2011-05-31","2011May","57.29"
"2011-06-30","2011Jun","59.41"
"2011-07-31","2011Jul","59.17"
"2011-08-31","2011Aug","61.67"
"2011-09-30","2011Sep","62.75"
"2011-10-31","2011Oct","62.86"
"2011-11-30","2011Nov","62.00"
"2011-12-31","2011Dec","55.70"
"2012-01-31","2012Jan","61.18"
"2012-02-29","2012Feb","63.71"
"2012-03-31","2012Mar","64.01"
"2012-04-30","2012Apr","62.35"
"2012-05-31","2012May","62.56"
"2012-06-30","2012Jun","64.69"
"2012-07-31","2012Jul","67.04"
"2012-08-31","2012Aug","68.87"
"2012-09-30","2012Sep","64.53"
"2012-10-31","2012Oct","70.88"
"2012-11-30","2012Nov","69.75"
"2012-12-31","2012Dec","66.76"
"2013-01-31","2013Jan","68.81"
"2013-02-28","2013Feb","72.35"
"2013-03-31","2013Mar","66.33"
"2013-04-30","2013Apr","67.72"
"2013-05-31","2013May","67.74"
"2013-06-30","2013Jun","69.25"
"2013-07-31","2013Jul","71.93"
"2013-08-31","2013Aug","70.26"
"2013-09-30","2013Sep","68.57"
"2013-10-31","2013Oct","72.73"
"2013-11-30","2013Nov","67.10"
"2013-12-31","2013Dec","66.12"
"2014-01-31","2014Jan","69.04"
"2014-02-28","2014Feb","64.94"
"2014-03-31","2014Mar","66.96"
"2014-04-30","2014Apr","70.30"
"2014-05-31","2014May","73.62"
"2014-06-30","2014Jun","68.03"
"2014-07-31","2014Jul","69.83"
"2014-08-31","2014Aug","70.30"
"2014-09-30","2014Sep","72.70"
"2014-10-31","2014Oct","72.35"
"2014-11-30","2014Nov","69.88"
"2014-12-31","2014Dec","73.94"
"2015-01-31","2015Jan","74.59"
"2015-02-28","2015Feb","74.64"
"2015-03-31","2015Mar","81.64"
"2015-04-30","2015Apr","77.70"
"2015-05-31","2015May","77.59"
"2015-06-30","2015Jun","76.75"
"2015-07-31","2015Jul","77.37"
"2015-08-31","2015Aug","80.27"
"2015-09-30","2015Sep","83.24"
"2015-10-31","2015Oct","81.39"
"2015-11-30","2015Nov","75.94"
"2015-12-31","2015Dec","84.52"
"2016-01-31","2016Jan","81.40"
"2016-02-29","2016Feb","85.16"
"2016-03-31","2016Mar","85.41"
"2016-04-30","2016Apr","82.98"
"2016-05-31","2016May","84.84"
"2016-06-30","2016Jun","79.30"
"2016-07-31","2016Jul","87.75"
"2016-08-31","2016Aug","82.85"
"2016-09-30","2016Sep","82.45"
"2016-10-31","2016Oct","85.33"
"2016-11-30","2016Nov","88.40"
"2016-12-31","2016Dec","83.63"
"2017-01-31","2017Jan","87.03"
"2017-02-28","2017Feb","88.70"
"2017-03-31","2017Mar","87.49"
"2017-04-30","2017Apr","86.50"
"2017-05-31","2017May","90.92"
"2017-06-30","2017Jun","91.90"
"2017-07-31","2017Jul","90.05"
"2017-08-31","2017Aug","88.78"
"2017-09-30","2017Sep","88.45"
"2017-10-31","2017Oct","88.54"
"2017-11-30","2017Nov","92.50"
"2017-12-31","2017Dec","93.02"
"2018-01-31","2018Jan","95.20"
"2018-02-28","2018Feb","90.47"
"2018-03-31","2018Mar","93.16"
"2018-04-30","2018Apr","91.97"
"2018-05-31","2018May","90.13"
"2018-06-30","2018Jun","92.54"
"2018-07-31","2018Jul","91.90"
"2018-08-31","2018Aug","93.38"
"2018-09-30","2018Sep","93.00"
"2018-10-31","2018Oct","92.82"
"2018-11-30","2018Nov","86.55"
"2018-12-31","2018Dec","97.71"
"2019-01-31","2019Jan","99.83"
"2019-02-28","2019Feb","96.06"
"2019-03-31","2019Mar","101.43"
"2019-04-30","2019Apr","96.22"
"2019-05-31","2019May","98.76"
"2019-06-30","2019Jun","99.50"
"2019-07-31","2019Jul","96.84"
"2019-08-31","2019Aug","101.46"
"2019-09-30","2019Sep","99.94"
"2019-10-31","2019Oct","95.53"
"2019-11-30","2019Nov","98.64"
"2019-12-31","2019Dec","98.27"
"2020-01-31","2020Jan","98.89"
"2020-02-29","2020Feb","100.23"
"2020-03-31","2020Mar","97.65"
"2020-04-30","2020Apr","91.29"
"2020-05-31","2020May","91.95"
"2020-06-30","2020Jun","93.43"
"2020-07-31","2020Jul","91.55"
"2020-08-31","2020Aug","92.12"
"2020-09-30","2020Sep","90.08"
"2020-10-31","2020Oct","90.47"
"2020-11-30","2020Nov","89.16"
"2020-12-31","2020Dec","89.60"
"2021-01-31","2021Jan","95.26"
"2021-02-28","2021Feb","93.92"
"2021-03-31","2021Mar","96.70"
"2021-04-30","2021Apr","96.82"
"2021-05-31","2021May","99.75"
"2021-06-30","2021Jun","97.73"
"2021-07-31","2021Jul","100.17"
"2021-08-31","2021Aug","102.24"
"2021-09-30","2021Sep","97.68"
"2021-10-31","2021Oct","103.79"
"2021-11-30","2021Nov","111.14"
"2021-12-31","2021Dec","104.81"
"2022-01-31","2022Jan","102.12"
"2022-02-28","2022Feb","107.16"
"2022-03-31","2022Mar","102.44"
"2022-04-30","2022Apr","110.57"
"2022-05-31","2022May","110.85"
"2022-06-30","2022Jun","118.99"
"2022-07-31","2022Jul","112.23"
"2022-08-31","2022Aug","109.44"
"2022-09-30","2022Sep","111.15"
"2022-10-31","2022Oct","116.87"
"2022-11-30","2022Nov","110.43"
"2022-12-31","2022Dec","116.95"
"2023-01-31","2023Jan","120.96"
"2023-02-28","2023Feb","115.29"
"2023-03-31","2023Mar","108.14"
"2023-04-30","2023Apr","127.70"
"2023-05-31","2023May","120.12"
"2023-06-30","2023Jun","128.69"
"2023-07-31","2023Jul","133.02"
"2023-08-31","2023Aug","137.06"
"2023-09-30","2023Sep","138.16"
"2023-10-31","2023Oct","127.90"
"2023-11-30","2023Nov","128.56"
"2023-12-31","2023Dec","133.55"
"2024-01-31","2024Jan","128.43"
"2024-02-29","2024Feb","132.74"
"2024-03-31","2024Mar","133.84"
"2024-04-30","2024Apr","139.19"
"2024-05-31","2024May","137.45"
"2024-06-30","2024Jun","130.58"
"2024-07-31","2024Jul","129.43"
"2024-08-31","2024Aug","135.09"
"2024-09-30","2024Sep","131.36"
"2024-10-31","2024Oct","133.64"
"2024-11-30","2024Nov","136.16"
"2024-12-31","2024Dec","134.95"
"2025-01-31","2025Jan","127.63"
"2025-02-28","2025Feb","133.14"
"2025-03-31","2025Mar","126.55"
"2025-04-30","2025Apr","134.38"
"2025-05-31","2025May","135.90"
"2025-06-30","2025Jun","134.30"
"2025-07-31","2025Jul","136.41"
"2025-08-31","2025Aug","135.08"
"2025-09-30","2025Sep","135.05"
